Date,Open,High,Low,Close,Adj Close,Volume
2014-08-19,15.710000,15.710000,15.710000,15.710000,11.669349,0
2014-08-20,15.700000,15.700000,15.700000,15.700000,11.661920,0
2014-08-21,15.730000,15.730000,15.730000,15.730000,11.684203,0
2014-08-22,15.720000,15.720000,15.720000,15.720000,11.676776,0
2014-08-25,15.770000,15.770000,15.770000,15.770000,11.713914,0
2014-08-26,15.790000,15.790000,15.790000,15.790000,11.728771,0
2014-08-27,15.810000,15.810000,15.810000,15.810000,11.743628,0
2014-08-28,15.780000,15.780000,15.780000,15.780000,11.721342,0
2014-08-29,15.810000,15.810000,15.810000,15.810000,11.743628,0
2014-09-02,15.810000,15.810000,15.810000,15.810000,11.743628,0
2014-09-03,15.820000,15.820000,15.820000,15.820000,11.751055,0
2014-09-04,15.780000,15.780000,15.780000,15.780000,11.721342,0
2014-09-05,15.810000,15.810000,15.810000,15.810000,11.743628,0
2014-09-08,15.770000,15.770000,15.770000,15.770000,11.713914,0
2014-09-09,15.710000,15.710000,15.710000,15.710000,11.669349,0
2014-09-10,15.730000,15.730000,15.730000,15.730000,11.684203,0
2014-09-11,15.730000,15.730000,15.730000,15.730000,11.684203,0
2014-09-12,15.670000,15.670000,15.670000,15.670000,11.639636,0
2014-09-15,15.640000,15.640000,15.640000,15.640000,11.617352,0
2014-09-16,15.690000,15.690000,15.690000,15.690000,11.654490,0
2014-09-17,15.690000,15.690000,15.690000,15.690000,11.654490,0
2014-09-18,15.740000,15.740000,15.740000,15.740000,11.691631,0
2014-09-19,15.730000,15.730000,15.730000,15.730000,11.684203,0
2014-09-22,15.640000,15.640000,15.640000,15.640000,11.617352,0
2014-09-23,15.580000,15.580000,15.580000,15.580000,11.572783,0
2014-09-24,15.650000,15.650000,15.650000,15.650000,11.624780,0
2014-09-25,15.510000,15.510000,15.510000,15.510000,11.520788,0
2014-09-26,15.560000,15.560000,15.560000,15.560000,11.557929,0
2014-09-29,15.530000,15.530000,15.530000,15.530000,11.535645,0
2014-09-30,15.490000,15.490000,15.490000,15.490000,11.505934,0
2014-10-01,15.390000,15.390000,15.390000,15.390000,11.431652,0
2014-10-02,15.360000,15.360000,15.360000,15.360000,11.409368,0
2014-10-03,15.450000,15.450000,15.450000,15.450000,11.476221,0
2014-10-06,15.460000,15.460000,15.460000,15.460000,11.483648,0
2014-10-07,15.330000,15.330000,15.330000,15.330000,11.387086,0
2014-10-08,15.480000,15.480000,15.480000,15.480000,11.498506,0
2014-10-09,15.270000,15.270000,15.270000,15.270000,11.342518,0
2014-10-10,15.130000,15.130000,15.130000,15.130000,11.238524,0
2014-10-13,15.040000,15.040000,15.040000,15.040000,11.171675,0
2014-10-14,15.070000,15.070000,15.070000,15.070000,11.193957,0
2014-10-15,15.020000,15.020000,15.020000,15.020000,11.156818,0
2014-10-16,15.020000,15.020000,15.020000,15.020000,11.156818,0
2014-10-17,15.130000,15.130000,15.130000,15.130000,11.238524,0
2014-10-20,15.220000,15.220000,15.220000,15.220000,11.305378,0
2014-10-21,15.380000,15.380000,15.380000,15.380000,11.424225,0
2014-10-22,15.310000,15.310000,15.310000,15.310000,11.372228,0
2014-10-23,15.410000,15.410000,15.410000,15.410000,11.446508,0
2014-10-24,15.470000,15.470000,15.470000,15.470000,11.491076,0
2014-10-27,15.450000,15.450000,15.450000,15.450000,11.476221,0
2014-10-28,15.580000,15.580000,15.580000,15.580000,11.572783,0
2014-10-29,15.560000,15.560000,15.560000,15.560000,11.557929,0
2014-10-30,15.610000,15.610000,15.610000,15.610000,11.595068,0
2014-10-31,15.730000,15.730000,15.730000,15.730000,11.684203,0
2014-11-03,15.700000,15.700000,15.700000,15.700000,11.661920,0
2014-11-04,15.670000,15.670000,15.670000,15.670000,11.639636,0
2014-11-05,15.700000,15.700000,15.700000,15.700000,11.661920,0
2014-11-06,15.710000,15.710000,15.710000,15.710000,11.669349,0
2014-11-07,15.720000,15.720000,15.720000,15.720000,11.676776,0
2014-11-10,15.750000,15.750000,15.750000,15.750000,11.699060,0
2014-11-11,15.770000,15.770000,15.770000,15.770000,11.713914,0
2014-11-12,15.760000,15.760000,15.760000,15.760000,11.706488,0
2014-11-13,15.760000,15.760000,15.760000,15.760000,11.706488,0
2014-11-14,15.770000,15.770000,15.770000,15.770000,11.713914,0
2014-11-17,15.740000,15.740000,15.740000,15.740000,11.691631,0
2014-11-18,15.800000,15.800000,15.800000,15.800000,11.736199,0
2014-11-19,15.770000,15.770000,15.770000,15.770000,11.713914,0
2014-11-20,15.790000,15.790000,15.790000,15.790000,11.728771,0
2014-11-21,15.860000,15.860000,15.860000,15.860000,11.780768,0
2014-11-24,15.900000,15.900000,15.900000,15.900000,11.810480,0
2014-11-25,15.910000,15.910000,15.910000,15.910000,11.817909,0
2014-11-26,15.940000,15.940000,15.940000,15.940000,11.840192,0
2014-11-28,15.900000,15.900000,15.900000,15.900000,11.810480,0
2014-12-01,15.800000,15.800000,15.800000,15.800000,11.736199,0
2014-12-02,15.830000,15.830000,15.830000,15.830000,11.758483,0
2014-12-03,15.860000,15.860000,15.860000,15.860000,11.780768,0
2014-12-04,15.860000,15.860000,15.860000,15.860000,11.780768,0
2014-12-05,15.860000,15.860000,15.860000,15.860000,11.780768,0
2014-12-08,15.790000,15.790000,15.790000,15.790000,11.728771,0
2014-12-09,15.780000,15.780000,15.780000,15.780000,11.721342,0
2014-12-10,15.640000,15.640000,15.640000,15.640000,11.617352,0
2014-12-11,15.660000,15.660000,15.660000,15.660000,11.632207,0
2014-12-12,15.520000,15.520000,15.520000,15.520000,11.528217,0
2014-12-15,15.410000,15.410000,15.410000,15.410000,11.446508,0
2014-12-16,15.360000,15.360000,15.360000,15.360000,11.409368,0
2014-12-17,15.530000,15.530000,15.530000,15.530000,11.535645,0
2014-12-18,15.740000,15.740000,15.740000,15.740000,11.691631,0
2014-12-19,15.790000,15.790000,15.790000,15.790000,11.728771,0
2014-12-22,15.830000,15.830000,15.830000,15.830000,11.758483,0
2014-12-23,15.810000,15.810000,15.810000,15.810000,11.743628,0
2014-12-24,15.820000,15.820000,15.820000,15.820000,11.751055,0
2014-12-26,15.860000,15.860000,15.860000,15.860000,11.780768,0
2014-12-29,15.470000,15.470000,15.470000,15.470000,11.792202,0
2014-12-30,15.430000,15.430000,15.430000,15.430000,11.761710,0
2014-12-31,15.360000,15.360000,15.360000,15.360000,11.708351,0
2015-01-02,15.350000,15.350000,15.350000,15.350000,11.700730,0
2015-01-05,15.180000,15.180000,15.180000,15.180000,11.571145,0
2015-01-06,15.100000,15.100000,15.100000,15.100000,11.510164,0
2015-01-07,15.210000,15.210000,15.210000,15.210000,11.594013,0
2015-01-08,15.370000,15.370000,15.370000,15.370000,11.715976,0
2015-01-09,15.310000,15.310000,15.310000,15.310000,11.670239,0
2015-01-12,15.270000,15.270000,15.270000,15.270000,11.639750,0
2015-01-13,15.270000,15.270000,15.270000,15.270000,11.639750,0
2015-01-14,15.230000,15.230000,15.230000,15.230000,11.609258,0
2015-01-15,15.180000,15.180000,15.180000,15.180000,11.571145,0
2015-01-16,15.270000,15.270000,15.270000,15.270000,11.639750,0
2015-01-20,15.300000,15.300000,15.300000,15.300000,11.662617,0
2015-01-21,15.350000,15.350000,15.350000,15.350000,11.700730,0
2015-01-22,15.470000,15.470000,15.470000,15.470000,11.792202,0
2015-01-23,15.460000,15.460000,15.460000,15.460000,11.784578,0
2015-01-26,15.510000,15.510000,15.510000,15.510000,11.822691,0
2015-01-27,15.430000,15.430000,15.430000,15.430000,11.761710,0
2015-01-28,15.330000,15.330000,15.330000,15.330000,11.685485,0
2015-01-29,15.400000,15.400000,15.400000,15.400000,11.738843,0
2015-01-30,15.300000,15.300000,15.300000,15.300000,11.662617,0
2015-02-02,15.400000,15.400000,15.400000,15.400000,11.738843,0
2015-02-03,15.510000,15.510000,15.510000,15.510000,11.822691,0
2015-02-04,15.480000,15.480000,15.480000,15.480000,11.799824,0
2015-02-05,15.570000,15.570000,15.570000,15.570000,11.868427,0
2015-02-06,15.500000,15.500000,15.500000,15.500000,11.815067,0
2015-02-09,15.450000,15.450000,15.450000,15.450000,11.776957,0
2015-02-10,15.530000,15.530000,15.530000,15.530000,11.837936,0
2015-02-11,15.510000,15.510000,15.510000,15.510000,11.822691,0
2015-02-12,15.640000,15.640000,15.640000,15.640000,11.921786,0
2015-02-13,15.690000,15.690000,15.690000,15.690000,11.959900,0
2015-02-17,15.700000,15.700000,15.700000,15.700000,11.967522,0
2015-02-18,15.730000,15.730000,15.730000,15.730000,11.990389,0
2015-02-19,15.730000,15.730000,15.730000,15.730000,11.990389,0
2015-02-20,15.800000,15.800000,15.800000,15.800000,12.043749,0
2015-02-23,15.790000,15.790000,15.790000,15.790000,12.036126,0
2015-02-24,15.840000,15.840000,15.840000,15.840000,12.074239,0
2015-02-25,15.860000,15.860000,15.860000,15.860000,12.089484,0
2015-02-26,15.840000,15.840000,15.840000,15.840000,12.074239,0
2015-02-27,15.830000,15.830000,15.830000,15.830000,12.066616,0
2015-03-02,15.860000,15.860000,15.860000,15.860000,12.089484,0
2015-03-03,15.820000,15.820000,15.820000,15.820000,12.058992,0
2015-03-04,15.780000,15.780000,15.780000,15.780000,12.028502,0
2015-03-05,15.800000,15.800000,15.800000,15.800000,12.043749,0
2015-03-06,15.650000,15.650000,15.650000,15.650000,11.929408,0
2015-03-09,15.670000,15.670000,15.670000,15.670000,11.944654,0
2015-03-10,15.520000,15.520000,15.520000,15.520000,11.830316,0
2015-03-11,15.520000,15.520000,15.520000,15.520000,11.830316,0
2015-03-12,15.640000,15.640000,15.640000,15.640000,11.921786,0
2015-03-13,15.580000,15.580000,15.580000,15.580000,11.876050,0
2015-03-16,15.700000,15.700000,15.700000,15.700000,11.967522,0
2015-03-17,15.690000,15.690000,15.690000,15.690000,11.959900,0
2015-03-18,15.860000,15.860000,15.860000,15.860000,12.089484,0
2015-03-19,15.810000,15.810000,15.810000,15.810000,12.051372,0
2015-03-20,15.930000,15.930000,15.930000,15.930000,12.142841,0
